,C,mean_test_score,sem_test_score,sem_test_score_lower,sem_test_score_upper
0,0.001,0.7870859325986045,0.017775103044176753,0.7781983810765161,0.7959734841206929
3,1.0,0.7743530920224765,0.012163574083416246,0.7682713049807683,0.7804348790641846
4,10.0,0.7742417207899807,0.012162024087137723,0.7681607087464118,0.7803227328335495
2,0.1,0.7742411199483704,0.012167767592679476,0.7681572361520307,0.7803250037447101
5,100.0,0.7742381925073153,0.012102604516774411,0.7681868902489281,0.7802894947657025
6,1000.0,0.7742381925073153,0.012102604516774411,0.7681868902489281,0.7802894947657025
7,10000.0,0.7742381925073153,0.012102604516774411,0.7681868902489281,0.7802894947657025
1,0.01,0.7702189659045693,0.01282041570160267,0.7638087580537679,0.7766291737553707
