,C,mean_test_score,sem_test_score,sem_test_score_lower,sem_test_score_upper
2,0.1,0.7823133945019651,0.01645559217803386,0.7740855984129482,0.790541190590982
1,0.01,0.7786041229041468,0.016171193095362604,0.7705185263564656,0.7866897194518281
0,0.001,0.7738612209602985,0.0004076854281021011,0.7736573782462475,0.7740650636743496
3,1.0,0.7198335241876954,0.013871525583634659,0.7128977613958781,0.7267692869795127
4,10.0,0.5530836450658032,0.024136032508808015,0.5410156288113992,0.5651516613202072
5,100.0,0.44038816446273027,0.012364582084614665,0.43420587342042294,0.4465704555050376
